nama,halaman,skor_pola,komponen_berbukti,dist_model,field_sales,scale,industry_fit,kutipan_dist,kutipan_field
Balon Tepuk Supporter,4,95,4,35,30,20,10,"...📦 Kalkulator Balon Tepuk Hitung Total 🧾 Cara Memesan Balon Tepuk Depo Pilih Jenis Balon Tepuk Tentukan tipe balon yang sesuai kebutuhan acara, misalnya standar, custom logo, mini, jumbo, atau glow-in...","...untuk Suporter Mitra Kami Toko Balon - Tukang Balon Hubungi Kami Sales Representative 087878889787 (Telp / WhatsApp) Pembayaran Via Alamat Produksi Jl Terate Gg 3 No 27, Jembatan V, Jakarta Barat Copyright © 2026 Ba..."
Mondelez Indonesia,11,90,4,35,30,10,15,...Investors Media SUPPLIERS & VENDORS Supplier Information Center Food Services World Travel Retail STARTUPS & INNOVATION SnackFutures Open Innovation Portal NUTRITION COMMUNITY Nutrition Science Center Snack...,"...S , Early Career , Taste The Future Meet Chloe Sargent, National Account Executive, Coles Careers and People , Australia , New Zealand , SALES , Early Career , Taste The Future , Culture Meet Mikhala Lia, Nationa..."
PT Epson Indonesia,7,75,4,25,20,20,10,...angkat Sumber Daya Inisiatif untuk Isu Sosial Kantor Penjualan & Distributor Mikroperangkat Solusi Solusi Solusi Lihat Semua Solusi Solusi Perangkat Lunak Produk Solusi Industri Lihat Semua Solusi Tempat Pe...,...baran Umum Mikroperangkat Sumber Daya Inisiatif untuk Isu Sosial Kantor Penjualan & Distributor Mikroperangkat Solusi Solusi Solusi Lihat Semua Solusi Solusi Perangkat Lunak Produk Solusi Industri Lihat Semua So...
DSV Contract Logistics Indonesia - Headoffice,9,75,3,35,30,0,10,...nd reliable supply chain solutions to link production sites with distribution channels across the world. Healthcare Dedicated teams and a wide range of solutions to ensure compliance with quality standards and regul...,"...s a freight forwarder in the Netherlands Read more Karen Pinedo, Sales Representative, Air & Sea - Mexico As a sales representative, Karen has learnt how to handle stressful days by being well organised and multi-ta..."
Kino Indonesia,7,70,3,35,0,20,15,...Tomorrow Company Tentang Kino Penghargaan & Sertifikat Manajemen Jaringan Distribusi Brand Investor Informasi Perusahaan Laporan Keuangan Laporan Tahunan Piagam dan Pedoman Pengumuman Pemegang Saham Keterbukaan Inf...,
Balon Tepuk Suporter,5,70,3,25,30,15,0,...nggulan Balon Tepuk Depok Kami merupakan salah satu produsen dan distributor balon terpercaya yang menyediakan berbagai jenis balon sesuai kebutuhan Anda. Salah satu produk unggulan kami adalah balon suport...,...imasi waktu akan kami informasikan sejak awal secara transparan. Sales Promotion Contact Person Sales Representative 087878889787 (Telp / WhatsApp) Finance 081805885788 (Telp / WhatsApp) Area Pemasaran Balon Te...
"PT. Kimia Farma, Tbk.",9,70,3,35,0,20,15,...kovigilans HUBUNGI KAMI Previous Next 0 + FASILITAS PRODUKSI 0 + JARINGAN DISTRIBUSI 0 + OUTLET FARMASI 0 + LABORATORIUM 0 + KLINIK KESEHATAN 0 + JUTA PELANGGAN Satu Ekosistem untuk Kesehatan Indonesia Sebagai tula...,
PT Multi Areal Planing Indonesia (MAPID),8,65,3,35,0,15,15,"...stry-specific challenges. Retail & FMCG Plan expansion, optimize distribution networks, and improve territory performance using data-driven geographic modeling. Telecommunications Optimize network coverage, plan inf...",
Nutrifood Indonesia,7,60,3,25,0,20,15,...adiah tanpa melakukan pemberitahuan resmi terlebih dahulu kepada distributor dan konsumen. Demikian pemberitahuan ini dibuat oleh […] Serunya Aksi Tanam Terumbu Karang di Hari Konservasi Alam Internasiona...,
Ajinomoto Indonesia,8,55,3,35,0,10,10,...jinomoto Indonesia Ajinomoto Global Group Pencapaian Produk Kami Produk Retail Bisnis Horeka Produk Industri Komitmen Halal Kegiatan Kami Karir Kunjungi Kami Beasiswa Stories Health Provider Siaran Pers Konta...,
PT Power Telecom,1,55,3,0,30,20,5,,...SERVICE PROVIDER INDONESIA'S NO.1 FIBER OPTIC SPECIALIST HUBUNGI SALES OFFICER SEKARANG Locations SERVICES JENIS LAYANAN RESIDENTIAL SOHO CORPORATE COVERAGE AREA HUBUNGI SALES OFFICER KAMI DI AREA ANDA DKI JA...
Solar Surya Indotama,5,55,2,35,0,20,0,...cil diberbagai jenis instalasi panel surya di seluruh Indonesia. AUTHORIZED DISTRIBUTOR OUR SOLUTIONS PLTS BTS System Lampu PJUTS – Semi Lithium Lampu PJUTS – Integrated Pompa Air Tenaga Surya Lampu PJU LED PLTS SHS L...,
Boston Consulting Group,10,50,3,15,0,20,15,"...ciency, cost, and reliability goals with the digitization of its fleet maintenance operations. Learn More Client Impact How Penske Is Driving a New Data-Centric Mobility Solution When the mobility exp...",
PT Musim Mas,8,50,3,15,0,20,15,"...erivatives before exporting these to customers via our extensive fleet of tankers and barges. Today, Musim Mas is one of the largest exporters in Indonesia. Inter-Continental Oils and Fats (ICOF) , a...",
Smart GPS Bandung,3,50,3,25,0,15,10,"...ISTRIBUSI PRODUK Perusahaan penjualan ritel, Perusahaan distributor, Perusahaan produksi, dll. ANGKUTAN UMUM Perusahaan bus antar kota, Perusahaan bus pariwisata, Perusahaan travel, Perusa...",
Toko Balon,3,50,3,0,20,20,10,,"..., Sawangan, Sukmajaya, hingga Cimanggis. Pengiriman bisa melalui kurir kami sendiri atau ekspedisi sesuai kebutuhan acara Anda. Apakah bisa request warna balon dan warna tinta sablon tertentu? Tentu s..."
Indofood Sukses Makmur,8,50,2,35,0,0,15,"...ed operations. Read More... Distribution With the most extensive distribution network in Indonesia, the Group distributes the majority of the consumer products manufactured by Indofood and its subsidiaries, as well...",
