osm_id,name,category,city,address,phone,website,latitude,longitude
6900307387,ACA,company,,,,,-6.2239345,106.8264492
490047949,ACA Asuransi,insurance,Jakarta,,,,-6.1480593,106.7937069
453891640,ACA Insurance,insurance,Jakarta,"Jalan Matraman Raya, No. 67 BC, RT.12/RW.4, East Jakarta",,,-6.2037365,106.8578328
4196648531,ACE Jaya Proteksi,insurance,Denpasar,"Jalan Bypass Gatot Subroto, 100F, Denpasar",,,-8.6356338,115.2247367
374533472,AIA,insurance,Denpasar,"Tukad Gangga, Denpasar",,,-8.6760718,115.2279113
630252633,AIA Financial,insurance,Medan,,,,3.6098744,98.6791027
3189433327,AIA Insurance,insurance,Denpasar,"Jalan Teuku Umar, 2-8, Denpasar",,http://www.aia-financial.co.id/,-8.6689032,115.2147822
10153281379,AJB BUMIPUTERA 1912 KC SUPRATMAN,insurance,Bandung,,,,-6.9114319,107.6332797
4267802198,AKR Corporindo. PT Tbk,company,Surabaya,"Jalan Sumatera, 51 - 53, Surabaya",,,-7.2701738,112.7490424
372807792,ASABRI,insurance,Denpasar,"Hang Tuah, 4, Denpasar",,,-8.6739275,115.2452864
13658337101,Abang Express - Pengiriman Internasional,company,,"Jalan Raya Bogor, No. 114",+628111361888,https://abangexpress.co.id/,-6.28132,106.8720599
8186171474,Accurate,company,Tangerang,"Jalan Jalur Sutera, Ruko The Element Blok B19 - B21, Tangerang Selatan",,https://www.accurate.id/,-6.2312752,106.6591849
11578924613,Acibadem,company,,,+62 628 11189922,https://acibademinternational.com,-6.2120327,106.820719
1198173645,Adhiya,company,Bandung,"Jalan Magna Barat, 27",,,-6.9577576,107.6888379
4457470138,Adira Finance,financial,Denpasar,"Jalan Bypass Gatot Subroto, 101XX, Denpasar",,,-8.6375013,115.1993262
6249660498,Aerowisata Group,company,,"Jalan Prof Soepomo, 45",,,-6.2376723,106.8453164
6393446589,Aetra Area Bisnis Sindang,company,,,,,-6.1122013,106.8964131
512842606,AirNav Indonesia,company,Tangerang,"Jalan Juanda, 1, Tangerang",+62 21 5591 5000,https://airnavindonesia.co.id/,-6.1534513,106.6436905
282189669,Akasha International,company,,"Jalan Tahi Bonar Simatupang, 89",,,-6.3048969,106.8482044
11648765950,Alcott Semarang,it,Semarang,"Jalan Sultan Agung, 90 A, Semarang",,https://alcott-smg.com,-7.0104698,110.4160179
